id	coin_name	current_price	symbol	currency	price	price_change_24h	marketcap	volume_24h	last_updated	volume_spike	date_added	exchange_id
3074	GMX	13.947468714285	GMX	USD	13.947468714285	5.31729760	142453641.2312	9746430.8241	2025-07-19 20:42:00	NULL	2021-09-13 12:11:50	1
3075	Goatseus Maximus	0.129092841883	GOAT	USD	0.129092841883	6.15946601	129091865.2582	23031180.8506	2025-07-19 20:42:00	NULL	2024-10-14 10:15:47	1
3076	Grass	1.063697232711	GRASS	USD	1.063697232711	2.42332439	259441170.3408	24597575.5080	2025-07-19 20:42:00	NULL	2024-10-28 05:31:00	1
3077	Hamster Kombat	0.000878541905	HMSTR	USD	0.000878541905	4.17431282	56556135.1235	21315419.3871	2025-07-19 20:41:00	NULL	2024-07-15 10:14:24	1
3078	Hooked Protocol	0.123301143890	HOOK	USD	0.123301143890	5.55694033	30650452.9126	8855465.3855	2025-07-19 20:42:00	NULL	2022-12-01 14:40:31	1
3079	SPACE ID	0.180226428565	ID	USD	0.180226428565	2.75780064	193650910.8265	10525392.4525	2025-07-19 20:41:00	NULL	2022-09-16 05:55:56	1
3080	Immutable	0.625250198188	IMX	USD	0.625250198188	9.71955320	1182287880.9093	92951985.0130	2025-07-19 20:42:00	NULL	2021-06-24 00:00:00	1
3081	IoTeX	0.023336123283	IOTX	USD	0.023336123283	1.50996352	220324950.4509	9385947.5739	2025-07-19 20:41:00	NULL	2018-05-25 00:00:00	1
3082	Story	4.628409472924	IP	USD	4.628409472924	0.39939815	1362012552.8299	27626883.4990	2025-07-19 20:42:00	NULL	2025-02-06 07:02:40	1
3083	JUST	0.037642444270	JST	USD	0.037642444270	-0.56366362	372660198.2749	34330580.1667	2025-07-19 20:41:00	NULL	2020-05-07 00:00:00	1
3084	Jito	1.948538353623	JTO	USD	1.948538353623	3.53956063	692044800.0087	32521087.9607	2025-07-19 20:42:00	NULL	2023-12-07 16:04:41	1
3085	KAITO	1.631660964432	KAITO	USD	1.631660964432	2.29933386	393864827.4290	27098314.2269	2025-07-19 20:42:00	NULL	2025-02-14 13:09:33	1
3086	Kadena	0.555485918166	KDA	USD	0.555485918166	11.58404146	180134557.8031	15809194.7149	2025-07-19 20:42:00	NULL	2020-05-31 00:00:00	1
3087	Kyber Network Crystal v2	0.429592383410	KNC	USD	0.429592383410	1.48068208	80524719.9733	11545732.6430	2025-07-19 20:42:00	NULL	2021-04-26 00:00:00	1
