symbol,name,price,market_cap,volume_24h,percent_change_24h
1INCH,1inch Network,0.3207240990647533,447258439.0860339,158461191.79215366,7.86999124
A,Vaulta,0.5295122003609525,835301469.1165165,60427975.11617163,-2.21332841
AAVE,Aave,301.33426418640414,4578489659.038021,467608084.9921098,0.64388378
ABT,Arcblock,0.7087938857149905,69854689.1069675,417133.34743437,-0.91067703
ACA,ACA Token,0.02974564582948982,1373438.9819725389,127885.74894408,4.85447729
ACE,ACENT,0.0005781595477071354,413418.75220934796,168669.18126488,5.85780351
ACH,Alchemy Pay,0.020911590130141162,193528503.99493498,23969629.89734878,-1.22705094
ACT,Act I : The AI Prophecy,0.04214244145392451,39961351.80530776,24589353.41662176,-3.77060848
ACX,Across Protocol,0.16252236786198562,80249463.67237487,13296368.84057572,-3.35597032
ADA,Cardano,0.7063323946953012,24995831162.377975,1333347514.0655584,-0.77120789
ADX,AdEx,0.09504474467903755,14057117.738029653,5642527.00505716,0.13914639
AERGO,Aergo,0.12161074090154662,58981208.822705485,52545690.30308755,3.35706789
AERO,Aerodrome Finance,0.7653947699772766,651619239.7406261,35308720.72374815,-3.30126107
AEVO,Aevo,0.10219513825319299,92872863.46337208,23565274.54381914,-5.43342247
AGI,Delysium,0.05483272731404047,77015125.16091095,26763583.730299,5.44260602
AGLD,Adventure Gold,0.7578422404982943,63287406.2618548,27046091.90838009,-2.16614828
AIOZ,AIOZ Network,0.34417733362204617,409219176.63064814,9682216.93748337,-3.62694061
AIXBT,aixbt,0.14537137460931465,138656638.50790212,63150117.28383429,-2.91751404
AKT,Akash Network,1.2906549318993963,320451285.3999624,42407756.88951159,7.8370845
ALGO,Algorand,0.21793883718238535,1883555293.3836555,108812519.92946492,-0.68949087
ALICE,MyNeighborAlice,0.44384180273735263,44384180.27373526,17871087.06468148,-2.34397184
ALPHA,Alpha,0.0007731498442415794,773148.788892042,7156.6758433,3.39258956
ALT,Altcoin,1.70501353215e-13,0.0,25466.98087556,32.32554061
AMP,Amp,0.0037046471011689857,312048378.9382606,16620155.54551063,-1.44683184
ANIME,Animecoin,0.01782964337285278,98751345.79970194,36014595.99826693,-1.23807864
ANKR,Ankr,0.01654482360111484,165448236.0111484,48838811.88124139,4.19745412
APE,APEcoin.dev,0.6431220668581694,0.0,12973.41262524,-3.75150814
API3,API3,0.6867287580118947,59348457.61687129,18519434.63906926,-3.42969157
APT,Aptos,4.795855235745736,3097259930.0697217,166187127.98412427,-2.49545538
AR,Arweave,6.135358898448985,402801441.4782194,36847502.36395156,-3.05831513
ARB,Arbitrum,0.39756331784908244,1973201484.2333863,244384973.7598466,-2.42664997
ARK,Ark,0.48865229512077785,92805845.62654312,441580004.76577425,19.68755024
ARKM,Arkham,0.5285871527751584,118984968.08968817,69367824.22366832,-0.72478794
ARPA,ARPA,0.02157894932281293,32791082.198234692,29939048.10523617,-0.56125087
ASTR,Astar,0.024474238885792393,199060693.1627128,11097378.04347179,-0.70531771
ATA,Automata Network,0.051248545186086604,30123486.320198353,5274693.47105348,-0.7752597
ATH,Aethir,0.02827969932015076,300868220.9673288,31027924.04311806,-4.40982961
ATOM,Cosmos,4.575400449097481,1788680532.5491662,109456209.08925349,-1.63869896
AUCTION,Bounce Token,9.933034166109373,60494083.566092536,36500377.39866777,1.01151548
AUDIO,Audius,0.06562533415898188,87858853.75779527,37415772.81536116,5.6827421
AVA,AVA,0.032492859163733935,32492666.481079094,3307266.77983825,-8.47351326
AVAX,Avalanche,20.63355345350365,8713039675.234116,416732835.8313191,-0.52936939
AXL,Axelar,0.34616652447516616,346033420.19363016,12784642.32319638,-5.24044777
AXS,Axie Infinity,2.4478583688463256,406395247.68775064,21902507.54266339,-0.78890076
BABY,Baby,1.1239369671623455e-07,110299.33032973018,391.36278693,-3.40988254
BANANA,ApeSwap,5.69534693628253e-09,2.095314902901283,39.10748919,2.18024454
BAND,Band Protocol,0.663773049051924,108441183.82225218,8541553.81802903,-1.19735783
BAT,Basic Attention Token,0.14684454885159157,219630745.10830662,34404879.38631526,1.72509521
BCH,Bitcoin Cash,507.06988712838074,10088887486.568676,444286321.81379,-5.04261227
