symbol,name,price,market_cap,volume_24h,percent_change_24h
1INCH,1inch Network,0.2796949418934931,390042168.6313199,198107500.4559807,30.51101824
A,Vaulta,0.5543872853417596,874375493.4732777,79990281.9741903,6.12013674
AAVE,Aave,312.2132199532096,4742349675.895675,767045742.0028738,6.20368073
ACA,ACA Token,0.02808938034248295,1297904.2617893326,72538.53739635,10.20855322
ACE,ACENT,0.0005880698567492685,420505.21755348356,178730.39642988,13.49122454
ACH,Alchemy Pay,0.02186279515018322,202238435.1345531,52983833.55456339,10.63635964
ACM,AC Milan Fan Token,0.8246225943668983,6782379.003581508,2033839.27502037,5.50569329
ACT,Act I : The AI Prophecy,0.045039310970330634,42708293.37598974,67005163.60963497,8.90852644
ACX,Across Protocol,0.1842139849127855,90933049.67088313,36678006.42397142,20.70776362
ADA,Cardano,0.7454260063130626,26379283659.90455,2014796735.676852,19.0663624
ADX,AdEx,0.09487401784945265,14031867.239934048,8448255.10576738,9.69144458
AE,Æternity,0.006797397407932217,2617724.626843318,104815.37597084,6.94189697
AERGO,Aergo,0.11820643151806556,57330118.78612107,26251423.35548995,3.51462578
AEUR,Anchored Coins AEUR,1.1681399278294802,66595195.4030312,64876.95612086,0.46454393
AEVO,Aevo,0.11643946690384688,105802973.56505476,68667413.89055878,27.01977364
AGI,Delysium,0.054358003283337,76303285.30010855,8455843.10842323,6.62165237
AGIX,SingularityNET,0.32371424110331704,0.0,34998.12375591,7.24075153
AGLD,Adventure Gold,0.8019071452143206,66967266.49875506,23980206.08850407,8.74571003
AI,Any Inu,2.041901239197447e-06,0.0,48019.08094837,4.94326265
AION,AION 5100,0.5151864791308489,0.0,193745.79564517,4.78890329
AIXBT,aixbt,0.15827057088538588,150905245.80497205,130732756.57303408,10.67562771
ALCX,Alchemix,8.782383531335476,21530151.15539548,3405259.1175781,10.74316817
ALGO,Algorand,0.2270204664524015,1961976030.0888731,168072478.79188225,17.13572885
ALICE,MyNeighborAlice,0.4637682399276615,46376823.99276615,25660820.91771039,8.29007929
ALPACA,Alpaca Finance,0.02288684084384417,3471216.0613632584,12066909.40067118,76.11696119
ALPHA,Alpha,0.0008103688012185884,810367.6950651748,16351.42982051,15.54424788
ALPINE,Alpine F1 Team Fan Token,0.9295466055601798,15537236.004195886,13554519.74375351,7.20050013
ALT,AptosLaunch Token,0.003082473630198481,0.0,121570.84318546,1.79529113
AMB,Ascendia (ex AirDAO),0.00012650278724124823,713333.5505157128,218291.21399106,0.54277148
AMP,Amp,0.0037140514197652524,312840519.8069706,19104120.85496364,6.048186
ANIME,Animecoin,0.018596052810324448,102996184.67848487,48965761.18642811,12.00325449
ANKR,Ankr,0.016312495990762222,163124959.90762222,24836223.52733582,9.99881502
ANT,Autonomi,0.05061966645481196,6916915.970472815,536871.76785086,35.1911531
APE,APEcoin.dev,0.6771752759452951,0.0,18295.4687312,7.28198582
API3,API3,0.7152768320133652,61815638.64016875,23035677.26917859,10.24782824
APT,Aptos,4.975402708953859,3213085613.984605,280585724.5886455,8.46912791
AR,Arweave,6.471035004676229,424839405.629316,65804724.05119871,13.0382385
ARB,Arbitrum,0.41443753170575465,2056952228.6617157,559949770.464919,15.58585536
ARDR,Ardor,0.08207787590461528,81951987.42402811,5504197.09191467,5.68939231
ARK,Ark,0.4133156682215265,78484961.92603269,9273947.75484571,8.37465278
ARKM,Arkham,0.5553233902789343,125003295.15178812,121522085.7098902,13.15370723
ARPA,ARPA,0.02233537423479001,33940535.357161686,22729001.50134907,8.43299988
ASR,AS Roma Fan Token,2.3297961388376716,17228958.936511524,10798445.71231223,4.36873515
AST,Astroon,0.006653341336927135,0.0,84135.49438453,9.94663648
ASTR,Astar,0.024714606117579422,200991807.866619,10292381.17648523,9.24790269
ATA,Automata Network,0.054013808676696175,31748886.156011373,7758259.88673515,12.83668727
ATM,Atletico De Madrid Fan Token,1.060225987508004,7315057.826913136,2881353.18037041,5.75150633
ATOM,Cosmos,4.683473416096663,1830929951.8769097,183648465.57405078,8.54324049
AUCTION,Bounce Token,10.025925897300986,61059812.0288494,19369048.59415504,7.85898177
AUDIO,Audius,0.06242479156432727,83571194.38860251,14726190.2698444,7.2729709
AUTO,Auto,6.529198744098787,500566.07738167344,82418.55127685,4.19294369
AVA,AVA,0.03766688250837949,37666659.14376622,5737377.28405251,12.29645572
AVAX,Avalanche,21.151236626957935,8931644485.097458,641529008.2449539,7.57462008
AWE,AWE,0.057099310230172354,110910858.33794169,11880574.56014416,2.92442873
AXL,Axelar,0.37423670520389624,373867393.4080041,50549974.02094636,10.40866682
AXS,Axie Infinity,2.5418102490768675,421914902.7509,48690089.10919107,10.81868104
BABY,Baby,1.1845280939213896e-07,116245.56323975265,804.43252908,7.39775551
BADGER,Badger DAO,1.119617593747306,22829656.262690913,10272721.49031449,2.21123473
BAKE,BakeryToken,0.08431663440351984,24432473.10994685,18323429.85046619,8.92381117
BAL,Balancer,1.1114506313735633,71451442.05697796,12134523.40338419,6.19700821
BANANA,ApeSwap,5.504636464425892e-09,2.0251526286287738,50.49711572,1.15057385
BANANAS31,Banana For Scale,0.02709823270740262,270982327.07402617,619663984.2497157,2.18730816
BAND,Band Protocol,0.6866691733256748,112156121.33760636,13877373.55134347,10.38957551
BAR,Gold Standard,0.29595359827082607,0.0,859980.05623064,14.78891423
BAT,Basic Attention Token,0.1459014752303618,218220219.73475653,19283099.57194798,8.50419699
BB,Bitboard,0.0009309738207471985,4100882.021784636,338410.21738187,1.70380851
BCD,Bitcoin Diamond,0.003490529071024373,650958.8818445284,0.0,0.0
BCH,Bitcoin Cash,522.9191823722283,10403854615.580257,577894463.4848927,1.44014852
BCN,Bytecoin,2.3980604635510443e-05,4414033.848302106,22.67595153,6.75600776
BEAM,Beam,0.03234069428381327,4875474.7961565005,97559.8365821,6.95167575
BEAR,Bear Inu,2.71655336627928e-10,0.0,80127.22547534,-1.5037636
BEL,Bella Protocol,0.29607966248184203,23686372.998547364,23613748.56365148,16.46397912
BERA,Berachain,2.077704105744352,250285150.8941827,132767925.34155248,13.07252392
BETA,Beta Finance,0.0005536670336300717,525983.6819485681,61751.02700443,-0.16371954
BETH,Beth,8.328040081187062e-05,0.0,24887.45521708,-15.539129
BICO,Biconomy,0.10910266041777397,105294418.92869148,19374592.39131572,11.02510675
BIDR,BIDR,6.310708004636761e-05,12027316.374085916,0.0,0.61611557
BIFI,Bitcoin File,0.00021594398813685442,0.0,231795.06209054,12.54615856
BIGTIME,Big Time,0.05959809699634377,115907941.44268818,42489287.39516819,9.68852592
BIO,Bio Protocol,0.06557559092808597,103889432.85513815,56880360.5132044,16.73274227
BLUR,Blur,0.08417058273854154,203518595.86961472,28590062.19766228,12.02409564
BLZ,Bluzelle,0.035481175174251575,16560996.999093425,1519728.74639822,6.23550293
BMT,Bubblemaps,0.09234023679286836,33761232.65790356,68231714.4286732,6.70779748
BNB,BNB,689.7023463250487,96068252310.35275,2370063129.38303,2.77130443
BNT,Bancor,0.6982643963966547,80431750.33404447,8785474.9516509,8.18863893
BNX,BinaryX [Old],560.919982609673,0.0,38951.29700373,39.56448378
BOME,Book of Meme 3.0,7.14128432991219e-10,0.0,1255656.35837998,190.56143465
BOND,BarnBridge,0.15766935302395452,1247205.9376741413,835248.40303157,2.31929612
BONK,Bonk,2.3911355154805178e-05,1932336549.8404236,887385203.8593843,7.89742555
BSW,Biswap,0.016018754302327843,10655836.782895586,12386132.83292286,11.01346234
BTC,Bitcoin,117813.73237520015,2343414807360.3203,125917432867.739,6.19761454
BTCB,Bitcoin on Base,0.27057599270491095,0.0,18973.26899001,5.65331652
BTCST,Bitcoin Standard Hashrate Token,0.02708632023949135,330491.053371709,83281.24897478,-7.96833878
BTG,Bitcoin Gold,0.8456202254935719,14810128.014607368,4827.77007316,-2.85567487
BTS,BitShares,0.001190489281435311,3565586.8272556425,168437.48997552,3.68403673
BTT,Bitteam token,6.700682288286747e-05,30890.145214988257,5.51462242,-0.02133198
BULL,Tron Bull,0.0046626814214100155,4430831.788516033,62591.75161728,5.10661576
BURGER,BurgerCities,0.0036075337716870277,155253.21743870727,358024.26647116,23.38405889
C98,Coin98,0.054781970356347395,52971106.747618996,28925543.23056192,18.71980195
CAKE,PancakeSwap,2.525288027846192,872260077.2606523,117222691.63635501,6.2233984
CATI,Catizen,0.09362803994920596,30503079.13505181,27566592.48699168,4.31904587
CDT,CheckDot,0.08442567394289724,653930.4760971114,11536.6036243,2.33281224
CELO,Celo,0.32682918218406004,188263252.68669727,31176955.12016191,8.03123487
CELR,Celer Network,0.0089251045856686,69467874.18951069,12874850.25826287,13.22557667
CETUS,Cetus Protocol,0.11727303271677698,96282859.38126403,38116134.38395526,16.6346167
CFX,Conflux,0.09656501510866955,492822224.8045455,88312849.34251522,23.86167444
CGPT,ChainGPT,0.1120587824240948,77041212.81339455,28497289.07460042,11.62853472
CHAT,Solchat,0.20261893041106618,1629757.2620041943,163879.84025287,3.80113565
CHESS,ChessCoin,0.07461931401110637,0.0,749604.39607276,6.56345232
CHR,Chromia,0.095819577788507,80917900.48574895,14044735.32626011,13.05988034
CHZ,Chiliz,0.040818105373547936,396427679.68961096,43526856.59308675,8.66602338
CITY,Manchester City Fan Token,0.9239070110201381,9275144.983353673,5442750.92796721,5.15353178
CKB,Nervos Network,0.004238585623130466,198616161.05614033,23149770.07277437,10.5070592
CLOAK,CloakCoin,0.03503219961273,212428.01613462996,0.0,0.0
CLV,CLV,0.023008338278581546,28165448.595089074,3989553.71755171,16.45958736
COMBO,Furucombo,0.0011388150886726494,46201.64285019924,0.0,8.92142949
COMP,Compound,47.9903461633027,450724673.9125984,101749801.1864517,6.13347942
COOKIE,Cookie DAO,0.20139120202870592,110297609.08585519,73906833.10072915,14.91790976
COP,Copiosa Coin,0.0002524286448988205,0.0,14897.95390612,4.87455412
COS,Contentos,0.003406393321535135,17633054.596955553,16767667.51249045,9.17457524
COTI,COTI,0.059005780853766024,131130528.14413647,17658662.41002532,10.38806401
COW,COW,0.017414783666787653,0.0,521803.28626943,7.88688269
CREAM,Cream Finance,1.3362947226086839,2479707.3286613077,85914.55681235,1.39960288
CRV,Curve DAO Token,0.6499102411853566,886080346.7430712,249484336.47098553,16.01596749
CTK,Shentu,0.3203723692796637,47405986.76868552,9237122.19537806,8.89310578
CTSI,Cartesi,0.07062166167738264,61688591.37160551,9157642.58011315,13.2869756
CTXC,Cortex,0.07193059433605367,16609983.116869768,7194161.13200731,6.07589576
CVC,Civic,0.09929883721449075,99298837.21449074,15739415.29542632,4.92076673
CVP,PowerPool,0.006971797583771507,315274.833019627,17097.35334885,1.70013801
CVX,Convex Finance,3.2408633900343307,318549658.8793874,29382677.74371216,14.74399378
CYBER,Cyber,1.6885193212827756,75751311.18184304,99203962.2462247,31.02157213
D,D,2.377998898079044e-05,0.0,180827.86204407,16.68550058
DAI,Dai,0.9997702456554739,5364149982.678889,49794308104.90992,-0.02574674
DASH,Dash,22.064166414821365,272050998.55001754,35710719.07218999,6.15789361
DATA,Databot,0.0011586010306041826,1061093.002188587,0.0,10.33864468
DCR,Decred,16.978240991747445,286926487.44707215,5318452.41677662,3.11897779
DEGO,Dego Finance,1.1674121365811505,24512400.861754812,22109450.63179091,11.02339051
DENT,Dent,0.0007775886189282217,77758861.89282212,8312701.65661684,22.64572298
DEXE,DeXe,7.8018555359934165,653276091.169956,24524839.37151044,1.27049011
DF,dForce,0.0290184994719958,29016356.357945416,4368102.62420753,10.71263053
DGB,DigiByte,0.008611418752231816,153202205.3756428,3194009.08030855,7.99699302
DIA,DIA,0.442450619772896,52950766.38680556,7042947.86868546,12.86253121
DNT,district0x,0.028811480216882183,28811480.216882184,220904.91253168,13.78509344
DODO,DODO,0.12737016490055889,0.0,53432.99481593,34.00400207
DOGE,Department of Gov Efficiency (deptofgovtefficiency.com),0.06281261337605204,0.0,253338.45762877,3.61852369
DOGS,HARRIS DOGS,1.5141026048923165e-05,0.0,376497.33152379,183.99888124
DOT,Polkadot,3.9962953667594765,6378063814.958422,451424174.94032776,9.4231156
DUSK,Dusk,0.06844542075411642,33243940.813479923,11189012.23523515,14.40037338
DYDX,dYdX,0.6281047664300163,473137667.37096083,25806563.99947129,11.17952399
DYM,Dymension,0.3058700081946075,99050851.30288565,25653129.49916372,22.4637936
EDU,Open Campus,0.1524832828390009,62627321.70725385,12643013.02612707,13.29642735
EGLD,MultiversX,15.623157066721786,443999976.7407001,30856142.5403643,9.56956493
EIGEN,EigenLayer,1.4129771060573049,443468695.2662319,151302438.41165307,14.05799614
ELF,THE LAND ELF Crossing,0.0063272336380581,0.0,97825.75342168,10.26723653
ENA,Ethena,0.3539225286848379,2249067069.001931,1240465832.8344543,23.17086767
ENJ,Enjin Coin,0.07832235134471242,145658560.9153537,20425358.30776212,11.69304764
ENS,Ethereum Name Service,22.47239739154995,820119736.3805177,144356679.75805253,10.4228855
EOS,EOS,0.553024169884022,0.0,2221548.36303426,6.00577705
EPIC,Epic Cash,0.17274681765639832,2985000.7472863947,3378.43311366,-0.46723717
EPS,Ellipsis,0.018704324640255485,13536349.141606413,696.65984071,1.46324157
EPX,Ellipsis,6.8074334328658155e-06,541546.5436407179,388611.17466669,3.8647158
ERN,Ethos Reserve Note,0.9853006668051228,0.0,274749.84065532,7.52242249
ETC,Ethereum Classic,18.67678009594022,2851265441.475926,161957866.93118432,6.19976362
ETH,Ethereum,2987.5762231626663,360647424794.84033,42884309528.15444,7.4436563
ETHFI,ether.fi,1.2109954422832367,453871165.23811674,256153231.38571277,10.06944342
EURI,Eurite,1.1712241771679397,60518460.70136874,40675680.83856064,0.01768661
EZ,EasyFi,0.001102455590067473,7026.627485687897,40.76289208,6.56650865
FARM,FARM,1.8148609477747282,0.0,72658.27158506,-6.4803283
FDUSD,First Digital USD,0.9982831529442976,1449972290.3071222,10671399565.391848,-0.01050571
FET,Artificial Superintelligence Alliance,0.7441650104511682,1779033081.9873645,252591273.05772606,7.24151319
FIDA,Solana Name Service (previously Bonfida),0.08865574171532824,87849990.11324921,29142173.23830191,11.86159691
FIL,Filecoin,2.633136484111945,1795064255.398862,302935021.54917234,7.94114842
FIO,FIO Protocol,0.016188628931587234,13177352.964788465,8025754.18877895,8.65568675
FIRO,Firo,0.7102209095525364,12407111.714664768,370270.91482872,3.41701969
FIS,StaFi,0.11575430118409517,13376435.321648235,22537958.4207916,4.26709906
FLM,Flamingo,0.0293250294935087,16156465.857590493,4992109.01667276,7.33261255
FLOKI,FLOKI,0.0001005686977770035,959564052.7410545,229865347.19413924,8.23986287
FLOW,Flow,0.38387422262233134,612213051.7602085,43651474.77660578,8.93742394
FLUX,Flux,0.253122711584779,98098266.1490968,14905354.19292749,16.37796752
FOR,ForTube,0.0009375755906000412,745372.5945270327,120867.41877695,13.89094381
FORM,Form,0.0001539782936277417,0.0,253944.58600555,42.03879756
FORTH,Ampleforth Governance Token,2.56912680374652,36850409.43752119,6519938.10335356,4.29882201
FRONT,Frontier,0.20663784853479863,1607078.827346652,3.78265047,3.91203258
FTT,FTX Token,0.9144657911916757,300763321.32761264,20861086.36818118,10.45877959
FUEL,Fuel Network,0.008523766475326093,45422466.48230205,13264602.414973,1.5284147
FUN,FUNToken,0.013173144371008963,142509732.28076577,38417139.36744623,1.02707506
G,Gravity (by Galxe),0.01310277548924144,126868147.78559981,15167314.10219963,7.58023873
