Name,Symbol,Exchange,Price USD,24h Change %,Volume,Market Cap,Age (hours),First Seen
MOG,MOG-EUR,Bitvavo,$0.00,+0.00%,"891,650,780,997.0",N/A,12.0,2025-07-10T18:57:09.318240+00:00
PEPE,PEPE-EUR,Bitvavo,$0.00,+0.00%,"631,238,902,148.0",N/A,12.0,2025-07-10T18:57:09.318240+00:00
BONK,BONK-EUR,Bitvavo,$0.00,+0.00%,"185,595,362,955.0",N/A,12.0,2025-07-10T18:57:09.318240+00:00
SHIB,SHIB-EUR,Bitvavo,$0.00,+0.00%,"125,750,729,395.89",N/A,12.0,2025-07-10T18:57:09.318240+00:00
CAT,CAT-EUR,Bitvavo,$0.00,+0.00%,"18,258,394,793.0",N/A,12.0,2025-07-10T18:57:09.318240+00:00
FLOKI,FLOKI-EUR,Bitvavo,$0.00,+0.00%,"17,414,822,707.0",N/A,12.0,2025-07-10T18:57:09.318240+00:00
BTT,BTT-EUR,Bitvavo,$0.00,+0.00%,"12,566,949,973.0",N/A,12.0,2025-07-10T18:57:09.318240+00:00
DOGS,DOGS-EUR,Bitvavo,$0.00,+0.00%,"3,488,931,447.4",N/A,12.0,2025-07-10T18:57:09.318240+00:00
NEIRO,NEIRO-EUR,Bitvavo,$0.00,+0.00%,"2,350,071,381.99",N/A,12.0,2025-07-10T18:57:09.318240+00:00
LUNA,LUNA-EUR,Bitvavo,$0.00,+0.00%,"2,203,714,223.303712",N/A,12.0,2025-07-10T18:57:09.318240+00:00
Wrapped SOL,SOL,Jupiter,$164.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
USD Coin,USDC,Jupiter,$1.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
USDT,USDT,Jupiter,$1.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
PayPal USD,PYUSD,Jupiter,$1.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
dogwifhat,$WIF,Jupiter,$1.02,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Popcat,POPCAT,Jupiter,$0.37,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Jito Staked SOL,JitoSOL,Jupiter,$199.28,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Jupiter,JUP,Jupiter,$0.49,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Bonk,Bonk,Jupiter,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Jupiter Perps,JLP,Jupiter,$4.74,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Toncoin,TON,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Bitcoin,BTC,CoinGecko,$1.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Omni Network,OMNI,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Pudgy Penguins,PENGU,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Manyu,MANYU,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Hyperlane,HYPER,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Ethena,ENA,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Hyperliquid,HYPE,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Solana,SOL,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Sui,SUI,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Coq Inu,COQ,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Ethereum,ETH,CoinGecko,$0.03,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Resolv,RESOLV,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Pi Network,PI,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
Arbitrum,ARB,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T18:57:09.318240+00:00
SOL,SOL/USD,Alpaca,$163.93,+0.04%,0,N/A,12.0,2025-07-10T18:57:09.318240+00:00
ETH,ETH/USD,Alpaca,"$2,993.64",+0.00%,0,N/A,12.0,2025-07-10T18:57:09.318240+00:00
BTC,BTC/USD,Alpaca,"$117,724.21",-0.10%,0.00525135,N/A,12.0,2025-07-10T18:57:09.318240+00:00
