Name,Symbol,Exchange,Price USD,24h Change %,Volume,Market Cap,Age (hours),First Seen
PEPE,PEPE-EUR,Bitvavo,$0.00,+0.00%,"354,214,490,293.0",N/A,12.0,2025-06-26T16:10:21.090628+00:00
MOG,MOG-EUR,Bitvavo,$0.00,+0.00%,"186,301,799,373.0",N/A,12.0,2025-06-26T16:10:21.090628+00:00
SHIB,SHIB-EUR,Bitvavo,$0.00,+0.00%,"69,165,095,335.29",N/A,12.0,2025-06-26T16:10:21.090628+00:00
BONK,BONK-EUR,Bitvavo,$0.00,+0.00%,"11,652,674,608.0",N/A,12.0,2025-06-26T16:10:21.090628+00:00
BTT,BTT-EUR,Bitvavo,$0.00,+0.00%,"6,623,330,870.0",N/A,12.0,2025-06-26T16:10:21.090628+00:00
FLOKI,FLOKI-EUR,Bitvavo,$0.00,+0.00%,"3,016,487,590.0",N/A,12.0,2025-06-26T16:10:21.090628+00:00
LUNA,LUNA-EUR,Bitvavo,$0.00,+0.00%,"1,611,290,061.790788",N/A,12.0,2025-06-26T16:10:21.090628+00:00
DOGS,DOGS-EUR,Bitvavo,$0.00,+0.00%,"1,125,875,888.38",N/A,12.0,2025-06-26T16:10:21.090628+00:00
CAT,CAT-EUR,Bitvavo,$0.00,+0.00%,"502,221,196.0",N/A,12.0,2025-06-26T16:10:21.090628+00:00
NEIRO,NEIRO-EUR,Bitvavo,$0.00,+0.00%,"445,691,758.78",N/A,12.0,2025-06-26T16:10:21.090628+00:00
Wrapped SOL,SOL,Jupiter,$141.05,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
USD Coin,USDC,Jupiter,$1.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
USDT,USDT,Jupiter,$1.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
PayPal USD,PYUSD,Jupiter,$1.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
dogwifhat,$WIF,Jupiter,$0.78,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Popcat,POPCAT,Jupiter,$0.26,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Jito Staked SOL,JitoSOL,Jupiter,$170.90,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Jupiter,JUP,Jupiter,$0.40,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Bonk,Bonk,Jupiter,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Jupiter Perps,JLP,Jupiter,$4.35,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Sahara AI,SAHARA,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Cross The Ages,CTA,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Toncoin,TON,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Notcoin,NOT,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Maple Finance,SYRUP,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Ethereum,ETH,CoinGecko,$0.02,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
LAMBO,LAMBO,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Bitcoin,BTC,CoinGecko,$1.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Sui,SUI,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Newton Protocol,NEWT,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Dog (Bitcoin),DOG,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Hyperliquid,HYPE,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Banana For Scale,BANANAS31,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
Chainlink,LINK,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-26T16:10:21.090628+00:00
