Name,Symbol,Exchange,Price USD,24h Change %,Volume,Market Cap,Age (hours),First Seen
Bittensor,TAO,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Aave,AAVE,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Worldcoin,WLD,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
BTC,BTC/USD,Alpaca,"$107,384.09",-0.05%,9.6365e-05,N/A,12.0,2025-06-28T00:31:42.598755+00:00
SOL,SOL/USD,Alpaca,$146.88,-0.03%,0.033364829,N/A,12.0,2025-06-28T00:31:42.598755+00:00
ETH,ETH/USD,Alpaca,"$2,425.68",-0.02%,0,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Cum,CUMSHOT,LiveCoinWatch,$0.00,N/A,"2,167,271",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Mooncoin,__MOONCOIN,LiveCoinWatch,$0.00,N/A,"8,764,610",N/A,12.0,2025-06-28T00:31:42.598755+00:00
BORED DRAGON TOKEN,________BDT,LiveCoinWatch,$2.67,N/A,"13,630,729",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Monke Phone,MONKEPHONE,LiveCoinWatch,$0.01,N/A,"16,746,128",N/A,12.0,2025-06-28T00:31:42.598755+00:00
MORI COIN,_MORI,LiveCoinWatch,$0.03,N/A,"6,580,788",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Moonveil,_______MORE,LiveCoinWatch,$0.02,N/A,"16,885,092",N/A,12.0,2025-06-28T00:31:42.598755+00:00
solami,SOLAMI,LiveCoinWatch,$0.00,+0.68%,"2,007,676",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Mango Network,__MGO,LiveCoinWatch,$0.02,+0.93%,"5,348,977",N/A,12.0,2025-06-28T00:31:42.598755+00:00
DeLorean,_________DMC,LiveCoinWatch,$0.00,+1.18%,"9,790,761",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Humanity,_H,LiveCoinWatch,$0.02,+1.01%,"20,173,223",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Sahara AI,SAHARA,LiveCoinWatch,$0.09,+1.03%,"217,984,561",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Newton Protocol,_NEWT,LiveCoinWatch,$0.39,+1.04%,"269,777,701",N/A,12.0,2025-06-28T00:31:42.598755+00:00
BaoBao,_BAOBAO,LiveCoinWatch,$0.00,+0.48%,"1,581,845",N/A,12.0,2025-06-28T00:31:42.598755+00:00
KAIKO,_________KAI,LiveCoinWatch,$0.01,+0.97%,"1,710,751",N/A,12.0,2025-06-28T00:31:42.598755+00:00
BunkerCoin,_BUNKER,LiveCoinWatch,$0.00,+0.72%,"3,539,273",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Redbrick,BRIC,LiveCoinWatch,$0.01,+0.96%,"2,004,620",N/A,12.0,2025-06-28T00:31:42.598755+00:00
WEEX Token,_WXT,LiveCoinWatch,$0.03,+1.02%,"4,652,690",N/A,12.0,2025-06-28T00:31:42.598755+00:00
League of Traders,_LOT,LiveCoinWatch,$0.02,+0.90%,"1,782,120",N/A,12.0,2025-06-28T00:31:42.598755+00:00
OpenVision,_____VISION,LiveCoinWatch,$0.01,+0.82%,"2,919,065",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Nura Labs,NURA,LiveCoinWatch,$0.00,+0.81%,"2,058,445",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Gorbagana,__GOR,LiveCoinWatch,$0.02,+0.87%,"15,127,040",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Bombie,___________BOMB,LiveCoinWatch,$0.00,+0.96%,"2,451,582",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Spark,___SPK,LiveCoinWatch,$0.04,+0.97%,"115,887,402",N/A,12.0,2025-06-28T00:31:42.598755+00:00
KAI: Battle of Three Kingdoms,SGC,LiveCoinWatch,$0.00,+1.01%,"2,544,707",N/A,12.0,2025-06-28T00:31:42.598755+00:00
NovaTrade,NRWA,LiveCoinWatch,$3.60,+0.91%,"5,922,370",N/A,12.0,2025-06-28T00:31:42.598755+00:00
I.R.I.S by Virtuals,__IRIS,LiveCoinWatch,$0.01,+1.20%,"2,289,212",N/A,12.0,2025-06-28T00:31:42.598755+00:00
MEET48 Token,__IDOL,LiveCoinWatch,$0.02,+0.99%,"24,398,585",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Defi App,____HOME,LiveCoinWatch,$0.02,+1.05%,"12,404,127",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Skate,SKATE,LiveCoinWatch,$0.04,+0.94%,"5,152,343",N/A,12.0,2025-06-28T00:31:42.598755+00:00
BULLA,__BULLA,LiveCoinWatch,$0.12,+1.10%,"2,852,583",N/A,12.0,2025-06-28T00:31:42.598755+00:00
EGL1,EGL1,LiveCoinWatch,$0.07,+1.09%,"2,862,690",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Ton Question,TQ,LiveCoinWatch,$0.00,+0.67%,"7,151,151",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Resolv,RESOLV,LiveCoinWatch,$0.16,+1.03%,"38,240,948",N/A,12.0,2025-06-28T00:31:42.598755+00:00
SUPER TRUST,_SUT,LiveCoinWatch,$6.46,+1.00%,"2,397,609",N/A,12.0,2025-06-28T00:31:42.598755+00:00
YBDBD,YBDBD,LiveCoinWatch,$0.00,+1.25%,"11,021,214",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Lagrange,_LA,LiveCoinWatch,$0.49,+0.96%,"26,038,978",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Bondex Token,BDXN,LiveCoinWatch,$0.03,+0.94%,"6,625,387",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Vaulta,__A,LiveCoinWatch,$0.49,+1.00%,"35,959,948",N/A,12.0,2025-06-28T00:31:42.598755+00:00
StablR Euro,EURR,LiveCoinWatch,$1.17,+1.00%,"2,855,519",N/A,12.0,2025-06-28T00:31:42.598755+00:00
LayerEdge,EDGEN,LiveCoinWatch,$0.01,+0.96%,"3,336,334",N/A,12.0,2025-06-28T00:31:42.598755+00:00
StablR USD,__USDR,LiveCoinWatch,$1.00,+1.00%,"3,705,150",N/A,12.0,2025-06-28T00:31:42.598755+00:00
catwifmask,____MASK,LiveCoinWatch,$0.01,+1.02%,"1,956,663",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Assisterr AI,ASRR,LiveCoinWatch,$0.15,+0.97%,"1,970,216",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Resupply USD,REUSD,LiveCoinWatch,$0.99,+1.00%,"2,084,625",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Sophon,_SOPH,LiveCoinWatch,$0.03,+0.99%,"14,728,340",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Elderglade,ELDE,LiveCoinWatch,$0.02,+1.11%,"4,599,928",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Puffverse Token,PFVS,LiveCoinWatch,$0.02,+0.86%,"6,728,462",N/A,12.0,2025-06-28T00:31:42.598755+00:00
