Name,Symbol,Exchange,Price USD,24h Change %,Volume,Market Cap,Age (hours),First Seen
PEPE,PEPE-EUR,Bitvavo,$0.00,+0.00%,"439,309,163,791.0",N/A,12.0,2025-06-28T00:31:42.598755+00:00
MOG,MOG-EUR,Bitvavo,$0.00,+0.00%,"115,201,579,619.0",N/A,12.0,2025-06-28T00:31:42.598755+00:00
SHIB,SHIB-EUR,Bitvavo,$0.00,+0.00%,"36,781,608,830.81",N/A,12.0,2025-06-28T00:31:42.598755+00:00
BTT,BTT-EUR,Bitvavo,$0.00,+0.00%,"18,810,491,805.0",N/A,12.0,2025-06-28T00:31:42.598755+00:00
BONK,BONK-EUR,Bitvavo,$0.00,+0.00%,"17,066,192,080.0",N/A,12.0,2025-06-28T00:31:42.598755+00:00
FLOKI,FLOKI-EUR,Bitvavo,$0.00,+0.00%,"2,722,335,336.0",N/A,12.0,2025-06-28T00:31:42.598755+00:00
CAT,CAT-EUR,Bitvavo,$0.00,+0.00%,"1,900,417,534.0",N/A,12.0,2025-06-28T00:31:42.598755+00:00
DOGS,DOGS-EUR,Bitvavo,$0.00,+0.00%,"1,289,896,996.5",N/A,12.0,2025-06-28T00:31:42.598755+00:00
LUNA,LUNA-EUR,Bitvavo,$0.00,+0.00%,"1,288,021,874.087119",N/A,12.0,2025-06-28T00:31:42.598755+00:00
HMSTR,HMSTR-EUR,Bitvavo,$0.00,+0.00%,"247,708,513.161",N/A,12.0,2025-06-28T00:31:42.598755+00:00
Wrapped SOL,SOL,Jupiter,$146.91,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
USD Coin,USDC,Jupiter,$1.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
USDT,USDT,Jupiter,$1.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
PayPal USD,PYUSD,Jupiter,$1.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
dogwifhat,$WIF,Jupiter,$0.80,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Popcat,POPCAT,Jupiter,$0.29,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Jito Staked SOL,JitoSOL,Jupiter,$178.10,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Jupiter,JUP,Jupiter,$0.42,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Bonk,Bonk,Jupiter,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Jupiter Perps,JLP,Jupiter,$4.42,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Toncoin,TON,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Notcoin,NOT,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Solana,SOL,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
deBridge,DBR,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Sei,SEI,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Pudgy Penguins,PENGU,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Maple Finance,SYRUP,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Newton Protocol,NEWT,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Artificial Superintelligence Alliance,FET,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
LAMBO,LAMBO,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Sahara AI,SAHARA,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
Ethereum,ETH,CoinGecko,$0.02,N/A,N/A,N/A,12.0,2025-06-28T00:31:42.598755+00:00
