symbol,name,slug,date_added,age_hours,price,market_cap,volume_24h,percent_change_24h,percent_change_1h,percent_change_7d,exchange
DOGE,Dogen,dogen-ethereum,2025-07-11T17:01:36.000Z,2.53,2.69520986934e-13,0.0,84313.69115164,-4.11655284,-4.11655284,-4.11655284,binance
ALT,Altcoin,altcoin-ethereum,2025-07-10T13:11:58.000Z,30.35,1.17305571101e-13,0.0,73607.30898503,-75.09607806,-14.24916642,-53.82522299,binance
ALT,Altcoin,altcoin-fun,2025-07-08T14:06:47.000Z,77.44,0.07029452817335008,0.0,18778710.4947335,26.02049623,-0.50158114,349.99611995,binance
SAHARA,Sahara AI,sahara-ai,2025-06-26T12:00:00.000Z,367.55,0.08010023260823258,163404474.52079448,165843285.97948438,4.32646842,1.58392634,-2.13192921,binance
TRUMP,Mubarak Trump,mubarak-trump,2025-06-19T08:16:44.000Z,539.27,1.7685188618720334e-05,0.0,51401.29216673,119.27014959,52.86387019,1128.4292419,binance
NEWT,Newton Protocol,newton-protocol,2025-06-19T01:54:19.000Z,545.65,0.33586126502740066,72210171.98089114,89883015.04315497,3.0912803,0.69204945,-0.91451554,binance
MASK,catwifmask,catwifmask,2025-06-12T15:45:24.000Z,699.8,0.008081931029968481,8080086.159490339,7474977.24463661,-7.14001289,-2.18887459,10.49520129,binance
RESOLV,Resolv,resolv,2025-06-04T08:26:04.000Z,899.12,0.1987886672041414,30961334.917045023,445598953.541693,36.8909668,0.15390566,39.93440814,binance
D,D,d,2025-05-29T07:57:20.000Z,1043.6,2.854063886421084e-05,0.0,190075.516307,32.91649825,1.4045276,1981.53966857,binance
A,Vaulta,vaulta,2025-05-28T09:48:03.000Z,1065.75,0.5556420313082002,876375206.3705006,88165112.10010038,4.5220364,0.70151951,16.15296304,binance
HUMA,Huma Finance,huma-finance,2025-05-26T11:00:00.000Z,1112.55,0.041379436105861596,71724355.90303361,116314649.78372881,9.34420777,0.53157397,32.95373914,binance
SPK,Spark,spark,2025-05-21T08:03:34.000Z,1235.49,0.03519813422067217,34372409.92120793,96790271.73560272,8.59488284,0.98755422,13.35561195,binance
TURBO,TURBO BOME,turbo-bome,2025-05-20T06:36:03.000Z,1260.95,1.8896412542103394e-05,0.0,287425.87273032,-47.13878246,-16.36563403,317.74115976,binance
LA,Lagrange,lagrange,2025-05-15T07:24:08.000Z,1380.15,0.3953307624097374,76298837.14507931,175728355.09846607,-4.51208627,0.32239723,-20.7525584,binance
HYPER,Hyperpigmentation,hyperpigmentation,2025-05-06T10:13:57.000Z,1593.32,0.011974895022497095,11934737.194675554,100067.71659121,-1.43155525,2.7761513,-21.41498648,binance
RED,RED,redfuture,2025-05-06T07:51:49.000Z,1595.69,1493.0059552199202,0.0,24530.19029011,1.35943838,-0.33443032,-0.02184648,binance
SXT,Space and Time,space-and-time,2025-05-02T07:29:58.000Z,1692.05,0.08488017303595181,118832242.25033253,42910854.370956,0.96653809,0.32390118,23.29153143,binance
HAEDAL,Haedal Protocol,haedal-protocol,2025-04-29T10:59:51.000Z,1760.56,0.16624267666048057,35326568.79035212,105214393.0839491,7.43893023,1.89110541,38.08030213,binance
TRUMP,TRUMP MOG (trumpmog.me),trump-mog,2025-04-29T08:39:17.000Z,1762.9,0.001999455515539839,0.0,176706.9694715,48.8922305,8.45583024,1158.14670389,binance
SIGN,Sign,sign,2025-04-25T14:19:12.000Z,1853.23,0.07494939251947964,89939271.02337557,36056695.26349305,9.71933751,-0.4902984,14.82223009,binance
INIT,Initia,initia,2025-04-17T09:02:11.000Z,2050.52,0.5044517625768278,80369049.68118072,270666681.9216018,18.78378574,2.01414036,25.51269928,binance
PEPE,PEPE AI (pepeai.one),pepeai-one,2025-04-17T06:34:41.000Z,2052.98,0.00010832434603643359,0.0,341096.79964152,195.97263574,-4.34791048,-86.23096732,binance
TRUMP,PEPE TRUMP (pepetrump.cc),pepetrump-cc,2025-04-17T06:31:45.000Z,2053.02,1.507910337299832e-08,0.0,1797796.99963077,-95.83652693,46.15624734,-76.43056932,binance
HYPER,Hyperlane,hyperlane,2025-04-16T09:27:48.000Z,2074.09,0.5277941764066353,92469539.7064425,2073772010.215185,4.06844015,0.61151202,414.74742159,binance
USD1,World Liberty Financial USD,usd1,2025-04-13T05:37:56.000Z,2149.92,0.9997164557788053,2208220713.1922593,668435225.7820103,-0.04038604,-0.01660049,-0.05943557,binance
KERNEL,KernelDAO,kerneldao,2025-04-01T13:15:11.000Z,2430.3,0.14880208618727428,25600549.863816757,101068918.7043253,16.53178524,0.21591095,47.35280642,binance
TRUMP,MAGA TRUMP (magatrumpcoin.com),magatrumpcoin-com,2025-03-28T03:51:29.000Z,2535.7,0.00016917660379152862,0.0,1594625.90596022,149.55410266,-6.69691179,-75.66177831,binance
GUN,GUNZ,gunz,2025-03-27T13:48:37.000Z,2549.74,0.034795322970157576,33212135.775015406,42378019.87736805,4.0992174,1.04121089,13.51925394,binance
HOME,Defi App,defi-app,2025-03-26T08:40:47.000Z,2578.87,0.022978661637409706,62501959.6537544,36079520.55495922,5.92560304,1.02777693,19.45462757,binance
MUBARAK,Mubarak(mubarakcoin.link),mubarak-coin,2025-03-25T14:21:53.000Z,2597.19,0.0032624212578849627,0.0,227705.52057178,3.91937046,5.89871845,-76.48859226,binance
PARTI,Particle Network,particle-network,2025-03-24T02:22:29.000Z,2633.18,0.21360686536323711,49770399.629634246,95800212.28301367,19.03095367,1.55925295,26.74019371,binance
NXPC,NEXPACE,maplestory-universe,2025-03-17T06:30:59.000Z,2797.04,1.068474796293843,198652685.79377326,110421310.53557558,13.1956047,1.33650716,17.85189233,binance
MUBARAK,Mubarak,mubarak,2025-03-16T12:53:38.000Z,2814.66,0.04718303521275795,47183035.212757945,103570529.25962277,6.4841319,0.03505203,29.40263013,binance
FORM,Form,form,2025-02-28T03:49:27.000Z,3207.73,0.00018203459073761464,0.0,291202.88488255,79.99946035,2.2719355,15.92025538,binance
TUT,Tutorial,tutorial,2025-02-26T10:44:14.000Z,3248.82,0.06068970884006952,50862822.92852511,47425717.44405931,0.80083002,-2.53440863,-0.6106455,binance
TST,[Fake] Test (testtoken.me),testtoken-me,2025-02-18T09:08:24.000Z,3442.41,1.4127056540010064e-05,0.0,244334.8353441,139.75972352,-1.14699393,-79.35086917,binance
KAITO,KAITO,kaito,2025-02-14T13:09:33.000Z,3534.39,1.6972871263376885,409706253.74065727,83318257.65061879,9.84097367,1.22849891,12.90286245,binance
HEI,Heima,heima,2025-02-12T06:52:06.000Z,3588.69,0.32356034222061336,24813942.301484242,25073425.03926494,13.74855642,3.33264725,21.78328931,binance
SHELL,MyShell,myshell,2025-02-12T03:34:17.000Z,3591.98,0.16903499949523879,48907459.8539535,36943981.70065664,7.24159703,0.12428616,22.03467624,binance
NIL,Nillion,nillion,2025-02-11T10:24:28.000Z,3609.15,0.33076989540040486,64549745.08738901,31408475.23255147,4.53939039,0.31411619,19.20819744,binance
TST,Test,test-token-bsc,2025-02-07T09:34:08.000Z,3705.98,0.04930957623958867,46688891.51827382,77349257.05943768,15.35909107,-0.56649991,20.18459458,binance
BERA,Berachain,berachain,2025-02-06T13:00:00.000Z,3726.55,2.091150546467198,251910926.96989715,136235621.38291478,12.65720798,0.59262698,28.22691217,binance
ANIME,Animecoin,anime,2025-01-23T14:00:00.000Z,4061.55,0.018519461218118954,102571974.12928507,51062593.01217335,9.05990394,1.04807904,11.77803695,binance
LAYER,Solayer,solayer,2025-01-23T10:38:59.000Z,4064.9,0.6724723156685026,141219186.29038554,58882669.54856126,5.40434887,0.89669446,9.62512125,binance
DATA,Databot,databot,2025-01-21T10:32:22.000Z,4113.01,0.0011598394712231152,1062227.2154679333,0.0,10.45658679,0.0,11.29112766,binance
TRUMP,OFFICIAL TRUMP,official-trump,2025-01-18T04:19:35.000Z,4191.23,10.186780146054758,2037349276.1476383,869714940.5276295,6.74857727,0.55344612,19.33824808,binance
GPS,GoPlus Security,goplus-security,2025-01-16T08:01:34.000Z,4235.53,0.024999512393318678,40905236.3623269,11746026.77802815,6.40074121,-0.08638685,5.5171202,binance
BMT,Bubblemaps,bubblemaps,2025-01-13T17:13:31.000Z,4298.33,0.09003704697452744,32919145.50269358,72145036.23905365,4.59107653,-0.19289552,-33.49201452,binance
S,Sonic,sonic,2025-01-03T14:11:26.000Z,4541.36,0.366348961822097,1055085010.0476393,264154526.19487676,12.59797538,2.32876994,20.0929145,binance
COW,COW,cow,2024-12-30T09:28:23.000Z,4642.08,0.017726243192358236,0.0,484438.33380254,7.99589204,0.52865884,150.47008865,binance
BIO,Bio Protocol,bio,2024-12-23T08:13:52.000Z,4811.32,0.06575957122795753,104209877.06892887,52206031.70171313,7.67414205,1.02148773,32.31299195,binance
FARM,FARM,farm-2,2024-12-19T02:46:44.000Z,4912.77,1.946170785194309,0.0,83556.70082823,9.10493384,17.17257944,-19.92904979,binance
TURBO,Based Turbo,based-turbo,2024-12-18T08:19:47.000Z,4931.22,1.2243030756993421e-05,0.0,35737.79143722,7.88687231,1.97377362,7.9126312,binance
PENGU,Pudgy Penguins,pudgy-penguins,2024-12-17T14:00:00.000Z,4949.55,0.02326933659097387,1462719714.8610785,1310208019.1584716,21.73749165,9.1747372,44.71138024,binance
VANA,Vana,vana,2024-12-13T12:20:10.000Z,5047.22,5.0832418611572034,152924248.1510533,35889559.94236354,9.31144387,0.84239194,22.6120133,binance
DOGE,Dogecast (dogecast.build),dogecast-build,2024-12-02T07:31:40.000Z,5316.03,9.21272190556644e-05,52788.8965188957,115.29818114,-0.05448498,-0.01543569,-0.0214479,binance
BANANAS31,Banana For Scale,banana-for-scale,2024-11-20T18:19:27.000Z,5593.23,0.022760479601070083,227604796.01070082,611459514.76528,-22.24792283,-6.20672262,60.92282809,binance
AVA,AVA,ava-sol,2024-11-20T13:48:04.000Z,5597.75,0.03793878656837198,37938561.591367625,5813289.85386228,8.26613914,0.8837306,35.80568851,binance
AIXBT,aixbt,aixbt,2024-11-20T08:37:44.000Z,5602.92,0.1587806244615013,151391563.3802915,133061674.12992717,5.58411051,1.25968153,27.0847785,binance
RIF,Rifampicin,rifampicin,2024-11-20T04:16:52.000Z,5607.27,0.002418700385905494,2417781.7402120885,1763965.87146206,3.83808028,1.32716587,13.05909889,binance
USUAL,Usual,usual,2024-11-14T12:01:40.000Z,5743.53,0.09039441272162763,95757743.85005026,93120374.10388282,22.12475385,-1.33743997,41.14315196,binance
SYRUP,Maple Finance,maple-finance,2024-11-06T06:16:40.000Z,5941.28,0.5457576334929575,655037400.4271046,196340066.29994547,12.33098374,0.12135139,1.27226527,binance
PNUT,Peanut the Squirrel,peanut-the-squirrel,2024-11-04T02:00:00.000Z,5993.55,0.2894450980407908,289402287.2174393,415022143.1883393,6.10207088,0.87813374,31.37198654,binance
DOGE,Department of Gov Efficiency (deptofgovtefficiency.com),department-of-gov-efficiency,2024-10-30T15:52:16.000Z,6099.68,0.0622995607906453,0.0,255323.26085974,2.25113972,1.80262235,5.56560883,binance
TURBO,Turbo Trump,turbo-trump-info,2024-10-30T12:00:36.000Z,6103.54,0.08967475695530691,0.0,582797.23762387,93.64153291,-53.22225954,37704.18304182,binance
KAIA,Kaia,kaia,2024-10-29T05:17:50.000Z,6134.26,0.15951368343531042,967505027.9272654,62035233.01457435,3.56459282,0.2442672,4.16985404,binance
ACT,Act I : The AI Prophecy,act-i-the-ai-prophecy,2024-10-22T14:22:27.000Z,6293.18,0.04534906735264134,43002018.26133547,69081072.24738808,6.61402662,1.06760593,15.84343298,binance
LUNA,Luna by Virtuals,luna-by-virtuals,2024-10-21T06:40:11.000Z,6324.88,0.01956568875467913,19565688.75467913,234931.89130199,7.76029516,-0.51441068,13.19367107,binance
LUMIA,Lumia,lumia,2024-10-17T03:48:13.000Z,6423.75,0.33650417711281033,42377756.19909588,67408382.01302846,36.80042488,-0.78974277,58.43473586,binance
UNI,UNI,uni-sui,2024-10-14T08:04:20.000Z,6491.48,0.0007555729264120589,755572.9264120589,28211.55247821,34.29675988,5.07090005,52.38642405,binance
BOME,Book of Meme 3.0,book-of-meme-3,2024-10-09T05:31:05.000Z,6614.04,6.38443893755098e-10,0.0,1245260.87756139,180.79838423,-7.89487047,89.25487249,binance
WCT,WalletConnect Token,walletconnect-token,2024-09-24T15:24:51.000Z,6964.14,0.3475959519171432,64722366.24697207,105767788.41975228,6.03031107,0.42929232,17.08919994,binance
BB,Bitboard,bitboardtop,2024-09-23T12:52:53.000Z,6990.67,0.0009324253788938612,4107276.045520392,337195.39904784,3.37881156,-0.133244,-14.47054589,binance
PEPE,Based Pepe,based-pepe,2024-09-17T13:05:26.000Z,7134.46,3.5459687379000985e-08,0.0,788407.11589736,20.66127197,0.03732038,20.82728678,binance
CATI,Catizen,catizen,2024-09-13T11:21:56.000Z,7232.19,0.09118326595735837,29706596.216247786,29924744.97449581,0.33981041,0.53848999,15.74962381,binance
SLF,Self Chain,self-chain,2024-08-30T07:47:08.000Z,7571.77,0.0661157212194472,11041325.443647683,14635557.32915734,3.26947963,-0.25440456,-14.81762804,binance
TRUMP,TRUMP AI,trump-ai,2024-08-28T07:51:42.000Z,7619.69,0.00044968788976079363,0.0,268874.47276297,161.40732981,3.24754408,6.41974584,binance
DOGS,DOGS,dogs,2024-08-26T12:00:00.000Z,7663.55,0.00015527562165277203,80238677.48906995,29086991.65556881,7.4396361,0.83417928,25.60869841,binance
EURI,Eurite,eurite,2024-08-26T07:13:12.000Z,7668.33,1.170172252497661,60464106.579365395,42068722.46918914,0.11050244,-0.05144801,-0.67126316,binance
DOGE,Department Of Government Efficiency (dogegov.com),department-of-government-efficiency-token,2024-08-21T13:37:59.000Z,7781.92,0.009401172446820033,9204878.350185826,1675436.53730335,11.46523701,1.08245197,11.1848919,binance
DOGE,Department Of Government Efficiency (DOGE),department-of-government-efficiency,2024-08-20T11:02:56.000Z,7808.5,0.00032596776562353997,162983.88281177,0.0,5.61849028,0.0,20.41541773,binance
