symbol,name,slug,date_added,age_hours,price,market_cap,volume_24h,percent_change_24h,percent_change_1h,percent_change_7d,exchange
SAHARA,Sahara AI,sahara-ai,2025-06-26T12:00:00.000Z,367.83,0.07970658799621125,162601439.51227096,165382848.67805484,3.76755239,0.64369382,-2.63010942,binance
NEWT,Newton Protocol,newton-protocol,2025-06-19T01:54:19.000Z,545.92,0.33567771203167496,72170708.08681011,89750259.51309332,2.8542507,0.47285162,-1.97411529,binance
MASK,catwifmask,catwifmask,2025-06-12T15:45:24.000Z,700.07,0.007932151845805544,7930341.16557155,7415267.19354995,-13.71219384,-0.20434777,6.83607603,binance
RESOLV,Resolv,resolv,2025-06-04T08:26:04.000Z,899.39,0.19778674236438243,30805285.123252563,446577399.3336959,36.87145897,-1.47273134,40.19743512,binance
A,Vaulta,vaulta,2025-05-28T09:48:03.000Z,1066.02,0.5549800094826567,875331045.7755641,87928799.37309256,4.30464073,0.68410259,15.87156208,binance
HUMA,Huma Finance,huma-finance,2025-05-26T11:00:00.000Z,1112.83,0.04133938280846976,71654930.18756779,115387340.5630458,7.008385,0.64982217,32.36414869,binance
SPK,Spark,spark,2025-05-21T08:03:34.000Z,1235.77,0.03513180952938675,34307641.16208941,96592284.96908207,8.113853,0.75195383,12.62461037,binance
LA,Lagrange,lagrange,2025-05-15T07:24:08.000Z,1380.42,0.39345694496842626,75937190.37890626,174488894.62599397,-3.92873794,-0.01991725,-20.57710841,binance
SXT,Space and Time,space-and-time,2025-05-02T07:29:58.000Z,1692.33,0.08477363052782565,118683082.7389559,42686751.57454123,1.07699212,0.41142177,22.86130899,binance
HAEDAL,Haedal Protocol,haedal-protocol,2025-04-29T10:59:51.000Z,1760.83,0.16533042878764415,35132716.11737438,104675919.05408385,7.10947703,1.21503684,37.96355683,binance
SIGN,Sign,sign,2025-04-25T14:19:12.000Z,1853.51,0.07470496209089586,89645954.50907503,36119267.55050077,9.49403389,-0.55518984,14.62632813,binance
INIT,Initia,initia,2025-04-17T09:02:11.000Z,2050.79,0.5060918035551977,80630703.30748272,270094580.41011715,18.51787689,1.88653376,25.17196684,binance
HYPER,Hyperlane,hyperlane,2025-04-16T09:27:48.000Z,2074.36,0.5240550675936417,91814447.84240603,2061902536.764813,8.44478662,-3.90731925,411.62254468,binance
USD1,World Liberty Financial USD,usd1,2025-04-13T05:37:56.000Z,2150.19,0.9999621354145063,2208763481.9194202,667309652.8446028,-0.01615787,0.00060589,-0.03423981,binance
KERNEL,KernelDAO,kerneldao,2025-04-01T13:15:11.000Z,2430.57,0.14774450473969802,25418599.010321,99857672.74739033,17.53802105,-0.89413441,45.54042827,binance
GUN,GUNZ,gunz,2025-03-27T13:48:37.000Z,2550.02,0.03473247699728749,33152149.293910906,42349003.08039254,3.3808888,0.71406755,12.907701,binance
HOME,Defi App,defi-app,2025-03-26T08:40:47.000Z,2579.15,0.022933572281370322,62379316.60532728,36022142.67490768,5.66668718,0.73392888,19.14571646,binance
PARTI,Particle Network,particle-network,2025-03-24T02:22:29.000Z,2633.45,0.21056875307513667,49062519.466506846,96196540.14960688,17.38638669,-0.23795415,24.69412104,binance
NXPC,NEXPACE,maplestory-universe,2025-03-17T06:30:59.000Z,2797.31,1.082686128614994,201294881.32716057,111286163.65772799,14.48287887,2.74613043,19.12020297,binance
MUBARAK,Mubarak,mubarak,2025-03-16T12:53:38.000Z,2814.93,0.04697192038797832,46971920.38797832,103060482.94387439,5.74606673,-0.29461133,28.36071545,binance
TUT,Tutorial,tutorial,2025-02-26T10:44:14.000Z,3249.09,0.06080077975949442,50955909.22956677,47549076.12780227,1.4074506,-0.33719902,0.00451176,binance
KAITO,KAITO,kaito,2025-02-14T13:09:33.000Z,3534.67,1.697671424305021,409799019.00003666,83178293.32357404,9.47287296,1.24703197,12.21942097,binance
HEI,Heima,heima,2025-02-12T06:52:06.000Z,3588.96,0.32319484028171,24785911.84521515,25151600.59428361,13.33161002,2.33363155,21.59134025,binance
SHELL,MyShell,myshell,2025-02-12T03:34:17.000Z,3592.25,0.1686449947715673,48794618.48723789,36401033.87204701,6.89129644,0.24077897,21.35348656,binance
NIL,Nillion,nillion,2025-02-11T10:24:28.000Z,3609.42,0.3314410175889132,64680714.582476415,31486483.20329084,4.71753934,0.80883032,18.68320727,binance
TST,Test,test-token-bsc,2025-02-07T09:34:08.000Z,3706.26,0.049303904014185954,46683520.75793291,77294906.91450721,15.56891532,0.12068936,20.10284915,binance
BERA,Berachain,berachain,2025-02-06T13:00:00.000Z,3726.83,2.0816208503434646,250763240.60486487,136353569.62371665,12.09020559,0.20021129,27.04797361,binance
ANIME,Animecoin,anime,2025-01-23T14:00:00.000Z,4061.83,0.018567516259042016,102838132.00268582,51139818.77407261,8.90072911,1.43196246,11.81560163,binance
