symbol,name,slug,date_added,age_hours,price,market_cap,volume_24h,percent_change_24h,percent_change_1h,percent_change_7d,exchange
ICNT,Impossible Cloud Network,impossible-cloud-network,2025-07-02T03:41:23.000Z,232.1,0.287070481222583,48005694.798345625,73076292.50809774,0.60170926,1.68350061,10.68454538,bitvavo
DMC,DeLorean,delorean,2025-06-24T11:00:00.000Z,416.79,0.005910203840752092,16007668.898600226,20188183.34991857,-1.79516696,0.6747653,-21.53132549,bitvavo
NEWT,Newton Protocol,newton-protocol,2025-06-19T01:54:19.000Z,545.89,0.33555309503834,72143915.43324311,89747557.4451909,2.80437716,0.28575256,-1.91286314,bitvavo
MASK,catwifmask,catwifmask,2025-06-12T15:45:24.000Z,700.03,0.00792063168075034,7918823.630235944,7422378.86589617,-13.13272915,-0.43432604,7.41069221,bitvavo
A,Vaulta,vaulta,2025-05-28T09:48:03.000Z,1065.99,0.5537140147867334,873334281.1314433,87869391.21741414,4.09108222,0.24755287,15.60402341,bitvavo
ZEUS,Pepes Dog,pepes-dog,2025-05-26T12:39:03.000Z,1111.14,2.3618733590703343e-08,9936165.03427299,2386256.69579964,-21.51284693,-0.42495805,-9.6834797,bitvavo
HUMA,Huma Finance,huma-finance,2025-05-26T11:00:00.000Z,1112.79,0.04132821283849216,71635568.906277,115447449.20884176,7.02849895,0.60004138,32.42003359,bitvavo
SPK,Spark,spark,2025-05-21T08:03:34.000Z,1235.73,0.035132181616786114,34308004.52057134,96587139.217823,8.09561652,0.73669051,12.60487875,bitvavo
SXT,Space and Time,space-and-time,2025-05-02T07:29:58.000Z,1692.29,0.08477921479203601,118690900.70885041,42688190.83381232,1.06088184,0.41369609,22.86515332,bitvavo
HAEDAL,Haedal Protocol,haedal-protocol,2025-04-29T10:59:51.000Z,1760.79,0.1654350455312487,35154947.17539035,104721508.316848,7.41038999,1.24768355,37.99998067,bitvavo
SIGN,Sign,sign,2025-04-25T14:19:12.000Z,1853.47,0.07469550516336346,89634606.19603615,36112253.42585322,9.47872158,-0.75480618,14.61369787,bitvavo
INIT,Initia,initia,2025-04-17T09:02:11.000Z,2050.75,0.5060776919838667,80628455.04755597,270141316.6224609,18.50526046,1.86910516,25.09390009,bitvavo
KERNEL,KernelDAO,kerneldao,2025-04-01T13:15:11.000Z,2430.54,0.14766330265658426,25404628.65526036,99952823.91487664,17.33407535,-1.28984283,45.46122214,bitvavo
HOME,Defi App,defi-app,2025-03-26T08:40:47.000Z,2579.11,0.022928800709613433,62366337.93014854,36011736.25234971,5.67733404,0.71775996,19.03445184,bitvavo
WAL,Walrus,walrus-xyz,2025-03-26T06:11:29.000Z,2581.6,0.41248437304643715,569572171.6441271,68731534.07249877,2.68783646,0.20163898,1.25590052,bitvavo
PARTI,Particle Network,particle-network,2025-03-24T02:22:29.000Z,2633.42,0.21057121578200333,49063093.27720678,96187506.04591689,17.23582896,-0.23974233,24.7214566,bitvavo
KAITO,KAITO,kaito,2025-02-14T13:09:33.000Z,3534.63,1.6973531321106496,409722186.8008599,83170745.29488534,9.44025226,1.13638028,12.34636085,bitvavo
HEI,Heima,heima,2025-02-12T06:52:06.000Z,3588.92,0.32319864267517634,24786203.45194122,25076497.53224314,13.30127332,2.15245983,21.56912981,bitvavo
SHELL,MyShell,myshell,2025-02-12T03:34:17.000Z,3592.22,0.16862193668135345,48787947.01313602,36416552.2888208,6.82136435,0.09814197,21.36707742,bitvavo
NIL,Nillion,nillion,2025-02-11T10:24:28.000Z,3609.38,0.3314600370434048,64684426.229020454,31492666.73371037,4.68198811,0.7590433,18.70842871,bitvavo
IP,Story,story-protocol,2025-02-06T07:02:40.000Z,3732.75,4.372835944335962,1253854275.5904753,138454568.17437527,33.09516982,1.63621348,49.82173131,bitvavo
ANIME,Animecoin,anime,2025-01-23T14:00:00.000Z,4061.79,0.01857082028311855,102856431.68581964,51161328.95815307,8.84027508,1.4076148,11.86809059,bitvavo
PLUME,Plume,plume,2025-01-20T17:00:10.000Z,4130.79,0.11330957789378673,226619155.78757346,51970342.57003787,7.26286574,1.07058672,5.57336339,bitvavo
TRUMP,OFFICIAL TRUMP,official-trump,2025-01-18T04:19:35.000Z,4191.46,10.221037239553818,2044200672.1375933,893732044.3585236,6.7081829,1.23469195,19.54752738,bitvavo
S,Sonic,sonic,2025-01-03T14:11:26.000Z,4541.6,0.3631666132935633,1045919846.2854624,271104960.1250523,11.36507857,1.20972483,18.46799244,bitvavo
BIO,Bio Protocol,bio,2024-12-23T08:13:52.000Z,4811.56,0.06560970383593655,103972380.65270363,51425234.50221875,6.31109969,0.7522405,31.54991674,bitvavo
FUEL,Fuel Network,fuel-network,2024-12-19T03:26:27.000Z,4912.35,0.008533568691589307,45490241.57469792,13515577.16114123,1.94796971,-0.10179719,10.32458342,bitvavo
PENGU,Pudgy Penguins,pudgy-penguins,2024-12-17T14:00:00.000Z,4949.79,0.02325638322355561,1461905461.054467,1336649383.8741329,21.10709255,8.24396061,45.29654958,bitvavo
VANA,Vana,vana,2024-12-13T12:20:10.000Z,5047.46,5.10380124316431,153542756.5993551,35965311.58126765,9.70730349,1.31828109,22.65029043,bitvavo
F,SynFutures,synfutures,2024-12-06T10:15:16.000Z,5217.54,0.00898424531025559,19051697.51189325,10765242.76371172,9.40416209,0.5337767,-1.68048203,bitvavo
XION,XION,xion,2024-12-05T11:30:10.000Z,5240.29,0.9362754472329361,34967069.79080063,12556441.34562983,6.37218626,1.31455415,9.81546004,bitvavo
MORPHO,Morpho,morpho,2024-11-21T10:30:00.000Z,5577.29,1.7146110958178726,547831427.1121366,24705090.08155478,3.7373464,1.59061158,27.89330157,bitvavo
CHILLGUY,Just a chill guy,just-a-chill-guy,2024-11-20T20:41:25.000Z,5591.1,0.06864325216548,68639967.5486714,30254473.99089471,-1.69082445,1.06453346,29.71651234,bitvavo
AVA,AVA,ava-sol,2024-11-20T13:48:04.000Z,5597.99,0.037713847604404806,37713623.96128851,5789170.85459639,6.86988187,0.91123758,34.26693041,bitvavo
AIXBT,aixbt,aixbt,2024-11-20T08:37:44.000Z,5603.16,0.1583357614665197,150967402.65836012,131789937.61944611,4.78276889,1.0017116,26.31798457,bitvavo
SWELL,Swell Network,swell-network,2024-11-07T10:00:00.000Z,5913.79,0.010390894167415343,25160394.21866171,21056364.39075506,10.39247963,-0.25520348,18.49415892,bitvavo
SYRUP,Maple Finance,maple-finance,2024-11-06T06:16:40.000Z,5941.51,0.5468577971653298,656357855.3465948,194626155.97656766,13.62714408,0.70981078,1.90139891,bitvavo
PNUT,Peanut the Squirrel,peanut-the-squirrel,2024-11-04T02:00:00.000Z,5993.79,0.2886324523950922,288589761.76734746,406483133.90161824,5.32440731,0.72798991,30.5152424,bitvavo
KAIA,Kaia,kaia,2024-10-29T05:17:50.000Z,6134.49,0.1592748438853121,966059087.840487,61790909.04470609,3.00358603,0.40747631,3.60696464,bitvavo
GRASS,Grass,grass,2024-10-28T05:31:00.000Z,6158.27,1.2296893177377304,299927484.944549,70162519.21786349,3.53260714,1.30051757,11.02996802,bitvavo
FARTCOIN,Fartcoin,fartcoin,2024-10-23T17:42:55.000Z,6266.08,1.3133129274264244,1313310637.008679,439277405.15468967,9.80327251,0.68343471,13.42939229,bitvavo
ACT,Act I : The AI Prophecy,act-i-the-ai-prophecy,2024-10-22T14:22:27.000Z,6293.42,0.04521045186494395,42870576.84299459,68734095.39927666,5.63129107,0.83940966,15.20456493,bitvavo
DBR,deBridge,debridge,2024-10-17T14:03:31.000Z,6413.73,0.02346194617553564,42918787.91206598,30437276.04231442,2.44680568,-0.17227239,13.11953209,bitvavo
LUMIA,Lumia,lumia,2024-10-17T03:48:13.000Z,6423.99,0.3288226440659354,41410379.99149941,67856574.34129103,32.59844026,-2.28044801,53.81345713,bitvavo
GOAT,Goatseus Maximus,goatseus-maximus,2024-10-14T10:15:47.000Z,6489.53,0.1428143186442283,142813242.46732846,111049317.03393188,25.88414994,1.22441959,47.48376201,bitvavo
DEEP,DeepBook Protocol,deepbook-protocol,2024-10-10T05:43:32.000Z,6590.07,0.17102465074238868,570709259.527351,48904293.01864617,1.17960724,0.09538319,21.34982381,bitvavo
WCT,WalletConnect Token,walletconnect-token,2024-09-24T15:24:51.000Z,6964.38,0.34753649685617066,64711295.71461898,105619198.71588746,5.774273,0.40912627,16.67258357,bitvavo
MOODENG,Moo Deng (moodengsol.com),moo-deng-solana,2024-09-21T02:09:39.000Z,7049.63,0.2003097874929226,198301039.11325064,276022827.1575799,-5.13171902,2.15970009,16.80425214,bitvavo
MOODENG,MOO DENG (moodeng.vip),moo-deng-token,2024-09-19T14:29:00.000Z,7085.31,3.636496132160226e-05,14855381.148311846,11175864.18483359,5.66506554,-0.84473343,32.74052844,bitvavo
CATI,Catizen,catizen,2024-09-13T11:21:56.000Z,7232.43,0.0911486511453107,29695319.056630775,29930415.27695317,0.37140261,0.43868165,15.11113399,bitvavo
SLF,Self Chain,self-chain,2024-08-30T07:47:08.000Z,7572.01,0.06617978644109983,11052024.33566367,14576406.17789877,3.33068305,0.36683053,-14.76853632,bitvavo
DOGS,DOGS,dogs,2024-08-26T12:00:00.000Z,7663.79,0.0001557356555278434,80476399.99401309,29166104.22222565,7.20508274,1.32078246,25.44332133,bitvavo
DOGE,Department Of Government Efficiency (dogegov.com),department-of-government-efficiency-token,2024-08-21T13:37:59.000Z,7782.16,0.009402615916105335,9206291.680198502,1681561.44832268,11.30518262,0.77090265,11.1619741,bitvavo
