symbol,name,slug,date_added,age_hours,price,market_cap,volume_24h,percent_change_24h,percent_change_1h,percent_change_7d,exchange
ICNT,Impossible Cloud Network,impossible-cloud-network,2025-07-02T03:41:23.000Z,231.92,0.2836826028481743,47439152.90047046,71797376.6430253,0.51281147,0.41606678,9.10338539,bitvavo
DMC,DeLorean,delorean,2025-06-24T11:00:00.000Z,416.6,0.005880251021947361,15926542.287923988,20200241.35184135,-1.33866334,0.19599536,-21.7790195,bitvavo
NEWT,Newton Protocol,newton-protocol,2025-06-19T01:54:19.000Z,545.7,0.3358596229438798,72209818.93293415,89861043.9504128,2.81553391,0.55719595,-0.96365858,bitvavo
MASK,catwifmask,catwifmask,2025-06-12T15:45:24.000Z,699.85,0.008028561111054633,8026728.423381251,7456248.7546278,-8.23769393,-1.2240784,9.71166374,bitvavo
A,Vaulta,vaulta,2025-05-28T09:48:03.000Z,1065.8,0.555511859358937,876169895.2844572,88172565.49154024,4.48132719,0.75058866,16.22349445,bitvavo
ZEUS,Pepes Dog,pepes-dog,2025-05-26T12:39:03.000Z,1110.95,2.37637849290493e-08,9997186.68180175,2402745.34077305,-18.4369792,1.4309848,-8.72585377,bitvavo
HUMA,Huma Finance,huma-finance,2025-05-26T11:00:00.000Z,1112.6,0.041483177866838666,71904174.9553593,116267487.55994216,9.7869966,0.74142102,33.2284242,bitvavo
SPK,Spark,spark,2025-05-21T08:03:34.000Z,1235.55,0.03522557515960392,34399207.114367984,96761244.92279385,8.62493238,1.00663891,13.25208015,bitvavo
SXT,Space and Time,space-and-time,2025-05-02T07:29:58.000Z,1692.11,0.0848213484520277,118749887.83283877,42849605.36523098,0.99704821,0.29887527,23.23083003,bitvavo
HAEDAL,Haedal Protocol,haedal-protocol,2025-04-29T10:59:51.000Z,1760.61,0.16613547935998918,35303789.3639977,105174508.20503455,7.30085247,2.18355608,38.54652365,bitvavo
SIGN,Sign,sign,2025-04-25T14:19:12.000Z,1853.28,0.07500221738156788,90002660.85788146,36061841.635444,9.78870521,-0.47870794,15.0663154,bitvavo
